cN=0 oN=7 oN2=3 oN3=3 oN4=3 oN5=16 onlogn=9 ologn=9 err=0 exeTime=0.787866697
cN=0 oN=36 oN2=0 oN3=0 oN4=0 oN5=6 onlogn=6 ologn=2 err=0 exeTime=1.231136377
cN=0 oN=32 oN2=4 oN3=0 oN4=0 oN5=6 onlogn=8 ologn=0 err=0 exeTime=1.609147625
cN=0 oN=32 oN2=5 oN3=1 oN4=0 oN5=3 onlogn=9 ologn=0 err=0 exeTime=2.017259823
cN=0 oN=24 oN2=3 oN3=1 oN4=0 oN5=4 onlogn=13 ologn=4 err=1 exeTime=2.490631589
cN=0 oN=18 oN2=6 oN3=2 oN4=1 oN5=15 onlogn=6 ologn=2 err=0 exeTime=3.216188868
cN=0 oN=13 oN2=5 oN3=1 oN4=0 oN5=17 onlogn=9 ologn=5 err=0 exeTime=3.948228097
cN=0 oN=35 oN2=1 oN3=0 oN4=2 oN5=5 onlogn=7 ologn=0 err=0 exeTime=4.379168465
cN=0 oN=13 oN2=4 oN3=2 oN4=1 oN5=18 onlogn=8 ologn=4 err=0 exeTime=5.242145479
cN=0 oN=38 oN2=3 oN3=0 oN4=0 oN5=4 onlogn=4 ologn=1 err=0 exeTime=5.637393363
cN=0 oN=41 oN2=2 oN3=0 oN4=0 oN5=2 onlogn=5 ologn=0 err=0 exeTime=6.023397778
cN=0 oN=34 oN2=4 oN3=2 oN4=0 oN5=3 onlogn=6 ologn=1 err=0 exeTime=6.420547588
cN=0 oN=32 oN2=1 oN3=0 oN4=0 oN5=6 onlogn=8 ologn=3 err=0 exeTime=6.88949344
cN=0 oN=27 oN2=5 oN3=0 oN4=0 oN5=6 onlogn=7 ologn=5 err=0 exeTime=7.39371967
cN=0 oN=33 oN2=5 oN3=1 oN4=0 oN5=4 onlogn=6 ologn=1 err=0 exeTime=7.831186228
cN=0 oN=42 oN2=1 oN3=0 oN4=0 oN5=1 onlogn=4 ologn=2 err=0 exeTime=8.229368745
cN=0 oN=36 oN2=2 oN3=1 oN4=0 oN5=2 onlogn=9 ologn=0 err=0 exeTime=8.655017919
cN=0 oN=28 oN2=5 oN3=1 oN4=0 oN5=4 onlogn=8 ologn=4 err=0 exeTime=9.103010373
